CustID,AgentBonus,Age,CustTenure,Channel,Occupation,EducationField,Gender,ExistingProdType,Designation,NumberOfPolicy,MaritalStatus,MonthlyIncome,Complaint,ExistingPolicyTenure,SumAssured,Zone,PaymentMethod,LastMonthCalls,CustCareScore
7000971,2168,13,,Agent,Small Business,UG,Male,4,Manager,3,Married,18069,0,1,433656,North,Yearly,7,4
7000972,5087,31,10,Agent,Salaried,Graduate,Female,4,Senior Manager,3,Married,25435,0,10,946182,North,Yearly,12,1
7000973,2489,12,10,Online,Salaried,Graduate,Fe male,3,Manager,3,Married,19148,0,1,293730,West,Half Yearly,9,5
7000974,2700,16,8,Agent,Salaried,Graduate,Male,3,Manager,3,Married,20768,0,4,494071,West,Half Yearly,2,1
7000975,4810,10,14,Third Party Partner,Small Business,Under Graduate,Fe male,3,Manager,3,Single,20042,0,2,880245,West,Half Yearly,8,3
7000976,4777,5,29,Agent,Salaried,Post Graduate,Female,4,Manager,1,Married,20770,0,2,549367,West,Yearly,9,4
7000977,3186,13,10,Agent,Small Business,Under Graduate,Female,4,Senior Manager,3,Married,22756,1,2,551150,West,Yearly,2,5
7000978,3290,16,3,Agent,Small Business,Under Graduate,Male,4,Senior Manager,5,Married,25306,0,2,638217,West,Yearly,0,5
7000979,4355,22,22,Agent,Small Business,UG,Fe male,3,Executive,4,Married,18936,0,2,535699,North,Half Yearly,7,1
7000980,4589,14,5,Agent,Salaried,Graduate,Female,3,Senior Manager,1,Single,22945,1,9,605748,West,Half Yearly,3,4
7000981,4563,27,23,Third Party Partner,Salaried,MBA,Male,3,Manager,1,Married,20743,1,4,844240,West,Half Yearly,2,5
7000982,3926,4,24,Third Party Partner,Small Business,Under Graduate,Male,4,AVP,1,Married,,0,5,702801,West,Yearly,2,5
7000983,4497,9,18,Agent,Small Business,Under Graduate,Male,5,Manager,1,Married,20440,1,13,777946,West,Yearly,2,1
7000984,2251,11,14,Third Party Partner,Laarge Business,Engineer,Fe male,3,Executive,1,Single,18760,1,1,353438,West,Half Yearly,3,3
7000985,2963,6,,Agent,Small Business,UG,Fe male,1,Executive,3,Married,18517,0,1,331825,West,Monthly,2,4
7000986,3340,,10,Third Party Partner,Small Business,UG,Male,3,Executive,1,Unmarried,17580,0,2,340700,West,Half Yearly,2,3
7000987,4292,9,13,Agent,Salaried,Graduate,Male,3,Exe,5,Unmarried,17166,1,4,,North,Half Yearly,3,3
7000988,3548,7,11,Agent,Small Business,Under Graduate,Male,4,Manager,3,Single,20869,0,3,649235,West,Yearly,4,4
7000989,3221,16,3,Agent,Salaried,Graduate,Female,3,Senior Manager,5,Married,23008,0,1,605571,West,Half Yearly,2,4
7000990,4849,19,5,Third Party Partner,Salaried,Graduate,Male,1,Manager,3,Married,20206,0,1,969888,North,Monthly,7,1
7000991,2638,5,16,Agent,Small Business,Under Graduate,Male,3,Manager,4,Married,20295,0,2,506563,North,Half Yearly,0,3
7000992,5654,28,28,Agent,Salaried,Post Graduate,Female,3,AVP,4,Married,,0,7,876423,North,Half Yearly,2,4
7000993,3392,14,14,Agent,Salaried,Graduate,Female,4,Senior Manager,5,Married,28269,0,2,491881,West,Yearly,11,3
7000994,4090,8,,Agent,Small Business,UG,Fe male,3,Executive,3,Unmarried,17783,0,7,409009,West,Half Yearly,2,4
7000995,4291,26,13,Agent,Salaried,Graduate,Female,3,Manager,4,Married,20433,0,2,450548,North,Half Yearly,9,5
7000996,3232,13,10,Agent,Salaried,Graduate,Male,3,Exe,4,Unmarried,17013,0,6,,North,Half Yearly,3,
7000997,5793,29,6,Agent,Salaried,Graduate,Female,4,AVP,3,Married,28966,1,14,643045,West,Yearly,12,5
7000998,2519,15,3,Online,Small Business,UG,Fe male,4,Manager,3,Married,19374,0,6,450833,West,Yearly,2,5
7000999,3058,15,9,Agent,Salaried,Graduate,Male,1,Manager,5,Married,21842,0,1,379177,North,Monthly,4,1
7001000,4540,27,27,Agent,Small Business,Under Graduate,Female,3,AVP,,Married,32426,0,,785358,North,Half Yearly,7,1
7001001,7825,8,31,Agent,Salaried,Graduate,Male,4,AVP,,Married,32603,0,,1533645,North,Yearly,11,3
7001002,3720,15,11,Third Party Partner,Salaried,Post Graduate,Male,3,Manager,1,Single,19581,1,1,665950,West,Half Yearly,7,3
7001003,4342,17,13,Third Party Partner,Salaried,Graduate,Male,3,Manager,1,Married,19735,0,2,481929,West,Half Yearly,9,5
7001004,3070,12,18,Agent,Small Business,UG,Male,4,Manager,4,Married,19187,1,2,531096,West,Yearly,9,5
7001005,2871,14,6,Agent,Small Business,Under Graduate,Male,3,Manager,1,Married,20505,0,2,551174,North,Half Yearly,4,3
7001006,2661,8,5,Agent,Small Business,Under Graduate,Male,3,Manager,4,Married,20470,0,1,329976,West,Half Yearly,6,4
7001007,5119,10,15,Agent,Salaried,Graduate,Female,3,Manager,1,Married,20476,0,2,900944,North,Half Yearly,2,1
7001008,4045,,24,Agent,Small Business,UG,Fe male,3,Executive,5,Married,17587,1,3,590571,North,Half Yearly,2,1
7001009,2790,,8,Third Party Partner,Small Business,Under Graduate,Female,4,Executive,4,Unmarried,17440,0,3,329267,West,Yearly,3,1
7001010,5575,11,6,Agent,Salaried,Graduate,Female,1,AVP,4,Married,,0,8,1025793,West,Monthly,2,1
7001011,5468,11,22,Agent,Salaried,Graduate,Male,3,AVP,3,Single,,0,13,891320,West,Half Yearly,0,3
7001012,4637,14,28,Agent,Salaried,Graduate,Male,3,Senior Manager,3,Single,22082,1,1,547192,North,Half Yearly,2,3
7001013,2127,,4,Agent,Salaried,Graduate,Male,3,Executive,5,Unmarried,17728,0,2,321231,West,Half Yearly,2,1
7001014,3463,14,17,Online,Salaried,Graduate,Female,3,Manager,1,Married,20368,1,1,678662,West,Half Yearly,2,1
7001015,2442,5,12,Agent,Salaried,Graduate,Male,3,Manager,3,Married,20347,0,1,417520,North,Half Yearly,2,3
7001016,3275,20,,Agent,Salaried,Graduate,Fe male,3,Executive,1,Married,18195,1,1,455239,West,Half Yearly,2,3
7001017,3418,7,7,Agent,Small Business,UG,Male,4,Executive,3,Single,18989,1,3,365728,North,Yearly,2,4
7001018,1831,11,,Agent,Small Business,UG,Fe male,3,Executive,3,Married,18306,0,2,366120,West,Half Yearly,0,5
7001019,4621,18,23,Agent,Small Business,Under Graduate,Male,1,Senior Manager,1,Married,22005,0,2,891863,West,Monthly,2,3
7001020,4237,,17,Third Party Partner,Small Business,UG,Fe male,3,Executive,3,Married,17655,1,5,457618,North,Half Yearly,7,4
7001021,2951,12,18,Agent,Salaried,Graduate,Male,3,Executive,4,Single,16393,0,1,,North,Half Yearly,0,3
7001022,1757,,4,Online,Small Business,UG,Male,3,Executive,1,Unmarried,17570,0,1,330316,North,Half Yearly,7,4
7001023,4449,27,,Agent,Laarge Business,Engineer,Male,4,Executive,4,Married,18537,0,3,609497,North,Yearly,2,1
7001024,1899,4,8,Agent,Small Business,UG,Male,4,Manager,1,Married,18986,0,1,235426,West,Yearly,13,4
7001025,2847,17,9,Agent,Small Business,Under Graduate,Male,5,Senior Manager,1,Married,25883,0,6,558037,North,Yearly,0,5
7001026,4257,9,17,Agent,Small Business,Under Graduate,Male,1,Exe,4,Married,17028,0,3,,North,Monthly,13,
7001027,2698,11,16,Third Party Partner,Small Business,Under Graduate,Male,5,Manager,1,Married,24525,0,2,345312,West,Yearly,3,1
7001028,2510,13,,Agent,Salaried,Graduate,Fe male,4,Executive,1,Married,17929,0,4,341368,West,Yearly,7,4
7001029,3973,4,20,Agent,Salaried,Graduate,Male,3,Executive,1,Married,17275,1,2,758891,West,Half Yearly,2,1
7001030,3203,16,6,Agent,Salaried,Graduate,Female,1,Senior Manager,1,Married,22879,1,4,387570,North,Monthly,7,4
7001031,2192,7,11,Third Party Partner,Small Business,Under Graduate,Male,4,Executive,1,Single,19930,1,1,394614,North,Yearly,4,3
7001032,3656,22,15,Agent,Small Business,Under Graduate,Male,3,Manager,1,Married,22847,1,1,445973,North,Half Yearly,8,3
7001033,1940,2,4,Agent,Small Business,UG,Male,1,Executive,3,Married,19401,0,2,380260,North,Monthly,4,1
7001034,5091,31,25,Agent,Small Business,Diploma,Male,3,Senior Manager,3,Single,24241,0,12,529423,West,Half Yearly,7,5
7001035,2876,3,,Agent,Small Business,UG,Fe male,3,Executive,3,Married,17974,0,1,411245,West,Half Yearly,2,5
7001036,4680,5,5,Agent,Salaried,Graduate,Fe male,3,Manager,1,Single,19502,0,2,861208,West,Half Yearly,7,4
7001037,3605,4,4,Online,Salaried,Graduate,Male,4,Senior Manager,3,Married,25748,0,4,684897,North,Yearly,4,1
7001038,1821,5,5,Agent,Salaried,MBA,Male,5,Executive,3,Married,16555,0,1,,West,Yearly,0,
7001039,3911,12,12,Third Party Partner,Salaried,Graduate,Male,5,AVP,3,Married,27936,0,5,406748,West,Yearly,10,5
7001040,3634,4,22,Agent,Small Business,Under Graduate,Male,5,Executive,3,Married,17305,0,2,399746,North,Yearly,2,3
7001041,5390,16,32,Agent,Large Business,Engineer,Female,4,AVP,4,Single,,0,3,803062,West,Yearly,6,3
7001042,4055,16,,Third Party Partner,Salaried,Graduate,Male,3,Executive,3,Married,18433,0,6,770499,West,Half Yearly,3,1
7001043,3511,4,,Agent,Salaried,Graduate,Male,3,Executive,3,Married,18477,0,1,610850,North,Half Yearly,3,5
7001044,4286,26,17,Online,Salaried,MBA,Male,5,Manager,4,Married,21430,0,2,737192,West,Yearly,2,5
7001045,4088,8,20,Agent,Salaried,Graduate,Female,3,Manager,5,Married,21516,1,8,523269,North,Half Yearly,0,1
7001046,3403,20,7,Agent,Small Business,UG,Male,3,Executive,5,Married,18907,0,4,544522,North,Half Yearly,2,4
7001047,4524,23,9,Agent,Salaried,Graduate,Male,3,Manager,4,Single,20562,0,11,488553,West,Half Yearly,9,4
7001048,3064,9,18,Agent,Salaried,Graduate,Male,3,Manager,3,Married,21883,0,2,398271,West,Half Yearly,7,5
7001049,2322,5,,Agent,Salaried,Graduate,Male,3,Executive,1,Married,17862,0,3,424937,West,Half Yearly,8,1
7001050,4195,4,4,Online,Small Business,Diploma,Male,3,Manager,4,Married,19978,0,13,423733,West,Half Yearly,0,1
7001051,3805,23,23,Agent,Salaried,Graduate,Male,3,Senior Manager,1,Married,25368,1,5,384325,North,Half Yearly,3,3
7001052,2747,8,8,Agent,Small Business,Diploma,Male,4,Manager,5,Married,21134,1,2,513768,North,Yearly,2,1
7001053,3478,10,14,Agent,Salaried,Graduate,Male,5,Manager,4,Single,21735,0,9,434700,West,Yearly,0,3
7001054,3293,13,,Agent,Small Business,UG,Fe male,3,Executive,4,Single,18295,0,1,329310,West,Half Yearly,2,3
7001055,3845,12,23,Third Party Partner,Laarge Business,Engineer,Female,3,Manager,1,Single,20238,0,8,576783,East,Half Yearly,4,1
7001056,2147,2,4,Online,Salaried,Graduate,Male,3,Manager,1,Married,21472,1,4,272694,North,Half Yearly,8,5
7001057,4430,13,9,Agent,Salaried,Graduate,Male,5,Senior Manager,3,Married,24610,0,9,801794,North,Yearly,2,3
7001058,6618,20,33,Agent,Small Business,Under Graduate,Male,3,VP,4,Single,34833,0,,1317036,West,Half Yearly,8,4
7001059,5941,30,6,Agent,Salaried,Graduate,Female,5,Senior Manager,3,Married,24756,0,2,1176405,West,Yearly,3,1
7001060,2196,9,9,Third Party Partner,Laarge Business,Engineer,Fe male,4,Executive,5,Single,19968,0,1,412938,North,Yearly,7,3
7001061,3258,16,7,Third Party Partner,Small Business,Under Graduate,Male,3,Exe,1,Married,17145,0,4,,West,Half Yearly,1,4
7001062,2405,10,10,Third Party Partner,Salaried,MBA,Female,4,Exe,1,Married,17180,0,1,,North,Yearly,2,5
7001063,3502,21,7,Agent,Large Business,Engineer,Male,3,Manager,3,Married,23346,0,1,511277,West,Half Yearly,2,5
7001064,3873,8,,Agent,Small Business,UG,Fe male,3,Executive,1,Single,18445,0,4,743702,North,Half Yearly,4,4
7001065,2486,,10,Agent,Small Business,Diploma,Fe male,5,Executive,4,Unmarried,17760,0,1,390365,West,Yearly,2,1
7001066,4046,4,24,Third Party Partner,Salaried,Graduate,Male,1,Manager,3,Single,21294,1,2,687796,North,Monthly,2,3
7001067,2214,7,4,Agent,Small Business,Diploma,Male,4,Senior Manager,5,Married,22140,0,5,265680,North,Yearly,7,1
7001068,2690,3,,Agent,Small Business,UG,Male,1,Executive,1,Married,17932,1,1,360433,North,Monthly,2,1
7001069,4231,25,25,Online,Small Business,Diploma,Female,3,Manager,4,Single,20147,0,5,698094,North,Half Yearly,7,1
7001070,3121,9,12,Agent,Small Business,Diploma,Fe male,3,Manager,1,Single,19507,0,2,617982,North,Half Yearly,4,4
7001071,3535,11,18,Agent,Salaried,Graduate,Female,3,Senior Manager,5,Single,23564,1,7,463033,North,Half Yearly,0,5
7001072,2271,,7,Third Party Partner,Small Business,Under Graduate,Female,4,Executive,4,Married,17468,0,1,433730,North,Yearly,5,3
7001073,5327,21,32,Agent,Small Business,Diploma,Male,3,Senior Manager,3,Married,23161,0,5,671206,North,Half Yearly,0,5
7001074,3251,7,10,Agent,Large Business,Engineer,Female,4,Exe,5,Married,17109,0,2,,North,Yearly,0,4
7001075,2029,10,10,Agent,Salaried,Graduate,Male,1,Manager,3,Married,20294,0,6,344998,West,Monthly,7,1
7001076,2126,,6,Online,Large Business,Engineer,Male,3,Executive,4,Unmarried,17718,0,2,248761,North,Half Yearly,7,3
7001077,5203,16,31,Agent,Small Business,Under Graduate,Male,5,Manager,1,Married,20811,1,3,978117,West,Yearly,0,5
7001078,4359,,26,Third Party Partner,Large Business,Engineer,Male,4,Executive,3,Married,17437,1,3,727995,West,Yearly,0,5
7001079,3553,,14,Agent,Small Business,UG,Male,3,Executive,4,Married,17766,0,4,504554,West,Half Yearly,4,1
7001080,6808,20,20,Agent,Small Business,Under Graduate,Male,4,VP,5,Married,34038,0,,728413,West,Yearly,0,5
7001081,4514,5,,Online,Large Business,Engineer,Male,3,Manager,4,Married,18055,0,5,473944,West,Half Yearly,7,1
7001082,1729,3,7,Agent,Salaried,Graduate,Male,3,Executive,5,Married,17289,0,2,273166,North,Half Yearly,4,5
7001083,4370,17,26,Online,Salaried,Graduate,Male,3,Manager,3,Married,19001,1,1,655535,West,Half Yearly,7,1
7001084,6712,20,7,Online,Small Business,Under Graduate,Female,4,AVP,3,Married,27965,1,10,677872,West,Yearly,2,1
7001085,3708,4,,Agent,Salaried,Graduate,Male,3,Executive,1,Single,18539,0,2,482014,North,Half Yearly,8,1
7001086,2103,11,2,Agent,Salaried,Graduate,Female,5,Manager,1,Single,21029,0,1,250245,West,Yearly,2,1
7001087,2652,,13,Agent,Small Business,Diploma,Male,3,Executive,4,Unmarried,17679,0,1,413689,West,Half Yearly,0,5
7001088,2431,7,12,Agent,Salaried,Post Graduate,Fe male,4,Executive,3,Married,18702,0,2,282026,West,Yearly,4,3
7001089,4350,,9,Agent,Small Business,Under Graduate,Female,3,Executive,5,Married,17398,1,5,578484,North,Half Yearly,0,3
7001090,2456,15,5,Agent,Small Business,Diploma,Female,4,Manager,1,Married,20468,0,1,356143,North,Yearly,7,3
7001091,3936,8,20,Agent,Large Business,Engineer,Female,3,Senior Manager,3,Married,28116,0,1,570755,West,Half Yearly,2,4
7001092,4413,13,13,Agent,Small Business,Diploma,Male,4,Manager,4,Married,19189,0,5,662021,West,Yearly,3,4
7001093,8239,8,33,Agent,Small Business,Under Graduate,Male,3,VP,1,Married,34328,1,,1235808,West,Half Yearly,2,1
7001094,2332,14,12,Agent,Salaried,Graduate,Male,3,Senior Manager,5,Married,23321,1,2,254199,West,Half Yearly,7,5
7001095,3642,,4,Third Party Partner,Small Business,Under Graduate,Male,3,Executive,4,Married,17342,1,2,418809,West,Half Yearly,3,3
7001096,4768,19,29,Agent,Salaried,Post Graduate,Male,3,Manager,4,Married,19071,0,2,677021,West,Half Yearly,7,3
7001097,5203,31,21,Agent,Salaried,Graduate,Male,3,Manager,1,Single,20813,1,8,827317,West,Half Yearly,7,5
7001098,3991,16,,Agent,Salaried,Graduate,Male,1,Executive,5,Married,18143,0,2,399146,West,Monthly,6,3
7001099,3068,15,12,Agent,Salaried,Graduate,Male,3,Exe,1,Married,17044,0,5,,West,Half Yearly,3,
7001100,6547,33,20,Agent,Small Business,Under Graduate,Male,3,Senior Manager,3,Single,28464,0,3,837980,North,Half Yearly,2,3
7001101,4138,25,25,Online,Salaried,Graduate,Male,4,Manager,4,Single,22991,0,2,542128,North,Yearly,2,4
7001102,3308,20,,Agent,Salaried,Graduate,Fe male,3,Executive,5,Married,18377,0,3,529258,West,Half Yearly,2,4
7001103,4313,4,4,Agent,Small Business,Under Graduate,Male,1,Manager,5,Married,20538,0,1,711642,North,Monthly,0,4
7001104,4775,19,24,Online,Small Business,Under Graduate,Male,3,Manager,1,Married,20762,0,1,625559,West,Half Yearly,7,3
7001105,3167,,9,Online,Salaried,MBA,Male,3,Executive,4,Married,17592,0,2,335655,North,Half Yearly,8,3
7001106,2645,16,3,Third Party Partner,Salaried,Graduate,Male,3,Manager,5,Married,20346,0,4,454937,North,Half Yearly,7,3
7001107,2882,12,17,Agent,Small Business,UG,Male,3,Manager,5,Single,19213,0,6,564862,West,Half Yearly,8,4
7001108,3252,7,20,Third Party Partner,Salaried,Graduate,Male,3,Manager,1,Married,19127,0,7,582035,West,Half Yearly,2,3
7001109,3662,,15,Online,Salaried,Graduate,Male,3,Executive,3,Unmarried,17438,0,4,454086,West,Half Yearly,2,3
7001110,5030,15,15,Agent,Salaried,Graduate,Male,1,Manager,4,Single,21870,0,1,885298,West,Monthly,2,5
7001111,2545,3,3,Agent,Small Business,Diploma,Female,3,Senior Manager,3,Married,25447,1,1,458046,West,Half Yearly,5,1
7001112,5427,16,5,Agent,Small Business,Under Graduate,Female,3,Senior Manager,3,Single,24667,0,1,868278,North,Half Yearly,2,4
7001113,3601,7,7,Agent,Small Business,Under Graduate,Female,3,Exe,4,Married,17148,1,7,,North,Half Yearly,4,3
7001114,4307,4,17,Agent,Small Business,Under Graduate,Female,3,Manager,4,Married,23926,0,4,615855,North,Half Yearly,7,3
7001115,2582,10,5,Agent,Salaried,Graduate,Female,3,Manager,1,Married,21513,0,1,495660,West,Half Yearly,3,3
7001116,2616,3,3,Agent,Laarge Business,Engineer,Male,1,Manager,3,Married,21799,0,1,486554,North,Monthly,8,1
7001117,3270,13,7,Online,Small Business,Under Graduate,Male,3,AVP,4,Married,21799,0,3,343334,West,Half Yearly,14,4
7001118,2302,,2,Agent,Small Business,UG,Male,5,Executive,3,Married,17705,0,1,391281,North,Yearly,3,1
7001119,2533,8,13,Agent,Salaried,Graduate,Female,4,Senior Manager,4,Married,25333,1,2,493994,North,Yearly,10,4
7001120,4668,23,19,Agent,Salaried,Graduate,Fe male,3,Manager,5,Married,19448,0,2,728133,West,Half Yearly,7,1
7001121,5464,33,27,Agent,Small Business,Under Graduate,Female,3,Manager,1,Married,21854,0,3,967040,North,Half Yearly,7,3
7001122,6159,6,6,Third Party Partner,Small Business,Diploma,Female,3,Senior Manager,5,Married,24637,0,7,942365,North,Half Yearly,2,1
7001123,3904,12,23,Agent,Small Business,UG,Fe male,3,Executive,5,Married,18591,0,1,765206,North,Half Yearly,2,1
7001124,3877,8,19,Agent,Small Business,Diploma,Female,5,Manager,1,Married,20405,1,2,507880,North,Yearly,3,3
7001125,2756,3,6,Agent,Small Business,UG,Male,3,Manager,1,Single,19684,0,4,372028,West,Half Yearly,2,1
7001126,4310,9,26,Third Party Partner,Salaried,Graduate,Male,3,AVP,3,Married,,1,2,771522,West,Half Yearly,2,1
7001127,2642,11,3,Online,Small Business,Under Graduate,Female,3,Executive,3,Single,16514,0,6,,West,Half Yearly,0,
7001128,3412,10,,Agent,Salaried,MBA,Male,1,Executive,5,Married,17956,0,4,368457,West,Monthly,0,1
7001129,2600,,3,Agent,Salaried,MBA,Male,4,Executive,5,Married,17335,1,1,478446,West,Yearly,0,5
7001130,4635,19,9,Online,Salaried,Graduate,Female,3,Manager,3,Married,20154,0,9,917813,North,Half Yearly,7,1
7001131,4832,29,14,Agent,Salaried,Post Graduate,Female,3,Manager,4,Married,21962,1,6,860032,North,Half Yearly,0,4
7001132,4135,17,17,Third Party Partner,Salaried,Graduate,Male,3,Manager,1,Married,20675,0,7,653330,North,Half Yearly,7,3
7001133,3476,,3,Third Party Partner,Salaried,Graduate,Female,3,Executive,1,Unmarried,17379,1,5,559604,West,Half Yearly,2,1
7001134,3951,20,8,Third Party Partner,Small Business,UG,Male,3,Executive,1,Married,18812,0,2,639984,West,Half Yearly,10,3
7001135,1965,10,10,Third Party Partner,Small Business,Diploma,Male,3,Manager,1,Single,19648,0,2,371347,North,Half Yearly,0,3
7001136,3408,10,,Online,Large Business,Engineer,Male,3,Executive,3,Married,17936,0,6,610003,West,Half Yearly,3,4
7001137,3934,4,16,Agent,Salaried,Graduate,Female,3,Exe,3,Unmarried,17105,0,6,,North,Half Yearly,0,3
7001138,2358,5,14,Agent,Salaried,Graduate,Male,3,Senior Manager,1,Married,23578,0,6,334808,West,Half Yearly,7,1
7001139,2479,,12,Online,Salaried,Graduate,Male,3,Executive,1,Married,17706,0,4,468501,West,Half Yearly,2,4
7001140,4063,24,8,Agent,Salaried,Graduate,Male,5,Manager,3,Married,21384,0,5,422548,North,Yearly,6,5
7001141,2276,9,5,Agent,Salaried,Graduate,Male,3,Executive,3,Single,18968,0,3,368738,West,Half Yearly,0,1
7001142,4981,20,10,Agent,Small Business,Diploma,Male,4,Manager,4,Single,24907,1,8,981336,West,Yearly,2,1
7001143,3952,4,12,Agent,Large Business,Engineer,Female,1,AVP,5,Married,28225,0,4,414908,West,Monthly,8,3
7001144,3337,3,13,Agent,Small Business,UG,Fe male,4,Manager,3,Married,18540,0,1,477220,West,Yearly,8,1
7001145,2136,9,,Agent,Small Business,UG,Male,4,Executive,4,Married,17804,0,1,343973,West,Yearly,0,3
7001146,4127,12,21,Agent,Small Business,Under Graduate,Female,4,VP,3,Married,34392,0,,751121,West,Yearly,14,3
7001147,4853,19,24,Agent,Salaried,Graduate,Male,4,VP,4,Married,34665,0,,815321,North,Yearly,9,3
7001148,1744,,7,Third Party Partner,Salaried,Graduate,Male,4,Executive,1,Unmarried,17439,1,1,228451,North,Yearly,0,3
7001149,2231,13,13,Agent,Salaried,Graduate,Female,3,Senior Manager,4,Married,22314,0,5,350330,North,Half Yearly,7,1
7001150,1977,10,8,Third Party Partner,Salaried,Graduate,Fe male,4,Executive,5,Married,19774,0,1,346045,North,Yearly,3,4
7001151,3591,22,7,Agent,Salaried,Post Graduate,Male,3,Manager,1,Married,18902,0,2,685954,West,Half Yearly,2,5
7001152,3532,,7,Agent,Large Business,Engineer,Male,4,Executive,1,Married,17662,0,2,600508,North,Yearly,4,5
7001153,3571,14,,Agent,Small Business,UG,Fe male,3,Executive,4,Married,17856,0,1,432115,North,Half Yearly,0,1
7001154,4020,4,8,Agent,Small Business,Under Graduate,Male,3,Executive,1,Single,16081,0,6,663341,West,Half Yearly,0,5
7001155,3669,,18,Agent,Salaried,Graduate,Male,3,Executive,4,Unmarried,17472,1,7,502669,North,Half Yearly,0,3
7001156,4135,25,4,Agent,Laarge Business,Engineer,Female,4,Manager,3,Married,20673,1,3,740093,North,Yearly,7,1
7001157,4031,12,20,Agent,Salaried,Graduate,Male,3,Manager,3,Married,19197,0,8,403137,West,Half Yearly,2,5
7001158,2718,8,5,Agent,Salaried,Graduate,Male,3,Senior Manager,1,Married,24713,1,4,475725,North,Half Yearly,0,4
7001159,3412,14,14,Agent,Salaried,Graduate,Male,3,Exe,5,Unmarried,17062,0,3,,West,Half Yearly,2,4
7001160,4821,5,5,Agent,Small Business,UG,Male,3,Manager,5,Married,19284,1,10,674940,North,Half Yearly,4,3
7001161,4947,20,15,Agent,Salaried,Post Graduate,Fe male,4,Manager,4,Married,19788,1,2,910248,West,Yearly,2,1
7001162,3345,3,3,Agent,Salaried,Graduate,Female,4,Manager,1,Married,20906,0,2,575333,North,Yearly,8,4
7001163,2644,3,8,Third Party Partner,Salaried,MBA,Male,4,Manager,1,Single,18886,0,5,452131,North,Yearly,8,3
7001164,4137,12,4,Agent,Salaried,Graduate,Male,3,AVP,5,Married,,0,4,479891,North,Half Yearly,16,3
7001165,3407,10,,Agent,Salaried,Graduate,Fe male,4,Executive,3,Married,17933,1,1,521312,West,Yearly,0,4
7001166,2365,9,14,Agent,Small Business,Under Graduate,Female,1,Manager,3,Single,21500,0,4,312180,West,Monthly,7,1
7001167,5148,21,10,Third Party Partner,Small Business,Under Graduate,Female,3,AVP,1,Married,,0,6,535375,West,Half Yearly,7,5
7001168,2604,5,16,Agent,Salaried,Graduate,Male,1,Manager,5,Married,20033,0,3,434916,North,Monthly,2,3
7001169,3288,13,16,Online,Large Business,Engineer,Male,5,Executive,5,Married,17307,1,2,434060,West,Yearly,0,3
7001170,3517,,18,Agent,Salaried,Graduate,Male,3,Executive,1,Unmarried,17587,0,1,661271,North,Half Yearly,0,3
7001171,4717,24,24,Agent,Small Business,Diploma,Male,4,Manager,4,Married,20507,0,2,693342,West,Yearly,3,4
7001172,2909,12,15,Agent,Small Business,Diploma,Fe male,3,Manager,4,Married,19393,0,1,424707,West,Half Yearly,4,3
7001173,4819,29,14,Agent,Small Business,Under Graduate,Male,3,Senior Manager,5,Married,28348,0,2,631310,West,Half Yearly,7,3
7001174,3669,18,22,Agent,Small Business,Under Graduate,Female,3,Manager,1,Married,21583,1,4,733822,West,Half Yearly,4,1
7001175,5083,20,5,Agent,Small Business,Under Graduate,Female,4,Manager,1,Married,23103,1,8,955540,North,Yearly,1,3
7001176,1898,2,8,Agent,Small Business,UG,Fe male,1,Executive,3,Married,18978,0,2,318830,North,Monthly,2,5
7001177,3333,,7,Third Party Partner,Salaried,Post Graduate,Male,1,Executive,1,Married,17544,0,1,376670,North,Monthly,7,4
7001178,3264,7,20,Third Party Partner,Small Business,Under Graduate,Male,3,Manager,3,Single,20399,0,1,424299,West,Half Yearly,3,1
7001179,4917,10,15,Agent,Small Business,Diploma,Male,3,Manager,3,Single,20487,0,2,880122,West,Half Yearly,9,1
7001180,4585,9,5,Third Party Partner,Salaried,Graduate,Male,4,Manager,1,Married,21834,1,2,559387,West,Yearly,7,1
7001181,3862,12,4,Third Party Partner,Large Business,Engineer,Male,1,Executive,5,Single,16091,0,8,683546,West,Monthly,0,3
7001182,3732,15,19,Online,Salaried,Graduate,Female,5,Manager,3,Married,20736,0,4,705439,West,Yearly,2,5
7001183,4134,17,21,Agent,Large Business,Engineer,Male,3,Exe,4,Married,17226,0,7,,West,Half Yearly,2,4
7001184,4979,10,25,Third Party Partner,Salaried,Post Graduate,Male,4,Manager,1,Married,20747,1,1,951042,West,Yearly,11,1
7001185,6214,12,37,Agent,Small Business,Diploma,Female,3,Manager,3,Single,24854,1,1,1130857,West,Half Yearly,2,5
7001186,3275,16,16,Online,Laarge Business,Engineer,Male,3,Manager,4,Married,20467,0,1,419164,North,Half Yearly,7,3
7001187,3668,22,11,Agent,Small Business,Diploma,Female,4,Manager,5,Married,20380,0,6,652975,West,Yearly,0,5
7001188,3627,7,4,Agent,Small Business,Under Graduate,Male,3,Manager,5,Married,20151,0,1,605739,West,Half Yearly,9,4
7001189,2570,13,13,Third Party Partner,Small Business,Under Graduate,Female,4,Manager,4,Married,17133,1,6,,West,Yearly,7,1
7001190,6575,26,39,Agent,Salaried,Graduate,Female,3,AVP,1,Married,32875,1,,716675,North,Half Yearly,0,5
7001191,2092,,8,Third Party Partner,Salaried,Graduate,Female,1,Executive,3,Unmarried,17432,1,5,269847,West,Monthly,3,1
7001192,4943,20,25,Agent,Salaried,Graduate,Male,3,Executive,1,Married,19771,0,9,884752,North,Half Yearly,3,1
